segment_id,recording_id,species,scientific_name,source_file,segment_number,start_time,end_time,segment_duration,recording_duration,sample_rate,file_path,split
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0000.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,0,0.0,5.0,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0000.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0001.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,1,2.5,7.5,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0001.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0002.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,2,5.0,10.0,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0002.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0003.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,3,7.5,12.5,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0003.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0004.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,4,10.0,15.0,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0004.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0005.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,5,12.5,17.5,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0005.wav,train
XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0006.wav,XC1070499-Asian-Koel-2026010301a-garden-Makham,Asian Koel,Eudynamys scolopaceus,XC1070499-Asian-Koel-2026010301a-garden-Makham.wav,6,15.0,20.0,5,20.495,32000,dataset\segments\Eudynamys_scolopaceus\XC1070499-Asian-Koel-2026010301a-garden-Makham_segment_0006.wav,train
XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0000.wav,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno,Asian Koel,Eudynamys scolopaceus,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno.wav,0,0.0,5.0,5,12.451,32000,dataset\segments\Eudynamys_scolopaceus\XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0000.wav,train
XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0001.wav,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno,Asian Koel,Eudynamys scolopaceus,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno.wav,1,2.5,7.5,5,12.451,32000,dataset\segments\Eudynamys_scolopaceus\XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0001.wav,train
XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0002.wav,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno,Asian Koel,Eudynamys scolopaceus,XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno.wav,2,5.0,10.0,5,12.451,32000,dataset\segments\Eudynamys_scolopaceus\XC1071405-260104_3156-Asian-Koel-20260104-8am-Perlis-eBird-xeno_segment_0002.wav,train
